gene_name,logFC
LAD1,-8.41325024437553
C1orf116,-8.469845344043549
FGFBP1,-10.3856388880907
CLDN7,-5.3256497298466
AP1M2,-6.411633197371884
FAM83B,-8.74307907986064
KRT5,-8.355758081289471
LAMA3,-6.036366918036268
CYP4F11,-5.884930639155034
KRT14,-6.434341178197664
FAT2,-6.534841817757509
TRIM29,-6.599012591278181
TFCP2L1,-5.409540081241248
KRT6B,-9.706575053121135
CD24,-4.8669586712699084
TP63,-8.092571583850582
MISP,-5.404117141987948
CDH3,-6.116856272216096
CBLC,-5.92393000005804
EHF,-7.754748786973804
FST,-5.199907181457652
MFAP5,-9.005195933666183
LAMB3,-5.45556720811203
TSPAN1,-5.071948235058428
ITGB4,-5.628559068724955
SERPINB2,-8.280086402385301
S100A14,-8.17811198345666
DMKN,-4.555392878053929
B3GNT3,-6.563709855779682
CAMSAP3,-5.361671953601692
RAB25,-7.977204228273974
ABLIM1,-4.111924012431142
ZBED2,-6.822045959375076
JUP,-4.520284564850964
IRF6,-4.846721645066694
HES2,-5.7432032232249854
FERMT1,-3.7367605283231016
KDF1,-5.279511568569808
SFN,-4.333822044798623
MARVELD3,-5.571668442794611
S100A2,-6.211233621884423
LCN2,-7.893231004701097
PAK6,-4.436378231017515
GJB3,-6.394822901201726
KRT19,-4.639521238458094
KRT16,-5.315282708157792
ST14,-5.594888695416747
CDH1,-8.021797279274665
CA2,-4.7078330116555005
LLGL2,-3.7124600216827304
PKP2,-4.46240066551779
TMEM30B,-5.276323498725188
ESRP1,-8.097208896511194
MYO5B,-5.041830248467016
PERP,-4.178305733085246
GDF6,10.125953827973714
SLPI,-8.24535286546176
MAST4,-3.1080192534304665
COL17A1,-7.783508806824995
ANXA3,-4.847386848862078
TMEM40,-4.672294816986832
ZNF385A,-2.9418940728525196
ERVMER34-1,-4.391641158864134
PLPP3,3.9652307212791
PTAFR,-4.851220839365651
EPCAM,-4.742981948271516
ANO9,-3.8692755521249227
CLDN1,-3.566921979852639
EPN3,-5.180651100271028
KIAA0040,-6.6428836687258235
KRT6A,-9.535434887776022
PTX3,5.102745474029275
EPHA1,-4.512184066456138
ANKEF1,-3.4452808924806546
TACSTD2,-2.9676880662990506
PTGS2,-5.1585588875387165
IVL,-4.518595017908668
SH2D3A,-4.328224369525975
PKIB,-4.543330932763432
ADAM8,-4.204394039789596
ARHGAP25,-3.538375269796422
AREG,-4.725075461461978
FAM83A,-4.0712989965808735
SPINT2,-3.548336432571331
KRT17,-5.628919707766119
KRT15,-4.417241531235184
CKMT1B,-5.752221020771089
WFDC2,-5.926198379573968
VGLL1,-6.774295726852169
ADGRF1,-5.281179118624504
GJB2,-3.607330725772997
LSR,-5.066613846993286
ARTN,-4.309026053757742
MACC1,-5.82425928254797
TPD52L1,-3.439210771494467
SRGAP3,-3.3922424829695874
TTC22,-5.525337489151418
ITGB6,-4.191664987728904
MAP7,-6.271322731644875
STON2,-4.192058216523196
SLC22A17,3.1740386131650467
TNS4,-6.631908523621771
ITGA2,-2.867914352605987
DSC2,-2.8220368747071634
TMC4,-3.610351632925362
TRAF3IP3,-4.92459872667367
IL1RN,-6.218275578032308
DSC3,-3.430571710340546
LAMC2,-4.6883109972032075
KLK5,-7.153957803691362
IFNLR1,-3.0184399341121737
SPRR1B,-14.781122526658173
